имя,фамилия,год рождения,место проживания,место работы,средняя зарплата в год,образование,судимости
Наталья,Кузнецов,1975,Кызыл-Кыя,MegaCorp,34827,Неполное высшее,нету
William,Смирнов,1943,Нарын,Нет места работы,36588,Неполное высшее,нету
Carlos,Taylor,1968,Екатеринбург,Нет места работы,71166,Бакалавр,нету
William,Ниязов,1975,Каракол,Ресторан,34980,Неполное высшее,нету
Бегимай,Курманалиев,1945,Нью-Йорк,ИП Сидоров,45393,Среднее специальное,нету
Каныкей,Ali,1964,Париж,ИП Сидоров,42368,Среднее,нету
Анна,Калмурзаев,1975,Екатеринбург,Ферма,67872,Бакалавр,нету
Максим,Воробьев,2008,Нью-Йорк,нет места работы,0,Неполное высшее,нету
Fatima,Калмурзаев,1974,Мехико,АО Техно,57161,Бакалавр,нету
Николай,Султанов,1991,Кант,Компания А,33232,Среднее,нету
Mehmet,Smith,1998,Каракол,Фабрика,45219,Неполное высшее,нету
William,Rahman,1991,Санкт-Петербург,ИП Сидоров,45357,Неполное высшее,нету
Наталья,Федоров,1960,Токио,Университет,64447,Бакалавр,нету
Juan,Петров,1954,Берлин,Компания А,64279,Магистр,нету
David,Беляев,1998,Бишкек,Global Tech,117241,Доктор,нету
Hassan,Павлов,1978,Пекин,Банк,64696,Бакалавр,нету
Yuki,Иванов,1981,Алматы,IT Studio,33613,Среднее,нету
Эрмек,Hernandez,1950,Нарын,MegaCorp,70195,Бакалавр,нету
Елена,Garcia,2010,Талас,нет места работы,0,Неполное высшее,нету
William,Соловьев,2009,Стамбул,нет места работы,0,Бакалавр,нету
Алиса,Карабаев,1991,Берлин,ГК Ромашка,57619,Бакалавр,нету
Егор,Ниязов,1942,Тбилиси,Нет места работы,68787,Бакалавр,нету
Павел,Сафонов,1948,Мадрид,Фабрика,39719,Среднее,нету
Валерия,Chen,1956,Нью-Йорк,Нет места работы,84281,Магистр,нету
Артур,Зайцев,1952,Берлин,АО Техно,47450,Среднее специальное,нету
Анна,Козлов,1991,Нью-Йорк,Ферма,41901,Неполное высшее,нету
Татьяна,Anderson,1963,Кант,MegaCorp,37693,Среднее специальное,нету
Carlos,Петров,1951,Мехико,Нет места работы,56789,Бакалавр,нету
